product_id,category,price,brand,name,description
44,Groceries,32,Pearson-Steele,Pasta,.. : pasta category : groceries.
45,Groceries,18,Carrillo-Thomas,Spices,. product : spices category : groceries.
46,Clothes,28,"Mcgee, Wallace and Francis",Casual T-shirt,.. :. t - shirt category : clothes.
47,Clothes,454,"Mosley, Snyder and Hurst",Jeans,.. : jeans category : clothes.
48,Clothes,214,Bishop-Harrison,Sneakers,.. : sneakers category : clothes.
49,Clothes,484,Garcia-Reynolds,Dress Shirt,.. : dress shirt category : clothes.
50,Clothes,133,Taylor-Nguyen,Dress Shoes,.. : dress shoes category : clothes.
51,Clothes,336,Jefferson Ltd,Blouse,.. : blouse category : clothes.
52,Clothes,321,Lee-Lindsey,Shorts,.. : shorts category : clothes.
53,Clothes,70,Navarro-Russell,Sports Bra,.. : sports bra category : clothes.
54,Clothes,205,Hall-Long,Running Shoes,.. : running shoes category : clothes.
55,Clothes,381,Williams PLC,Hoodie,.. : hood. category : clothes.
56,Clothes,499,Moore-Thompson,Jacket,.. : jacket category : clothes.
57,Clothes,486,Tucker-Lee,Activewear Leggings,. product : activewear leggings category : clothes.
58,Clothes,37,"Avila, Navarro and Johnson",Swimsuit,. s : swim : category : clothes.
59,Clothes,328,Scott-Oconnor,Formal Dress,.. : formal dress category : clothes.
60,Clothes,238,Davis-Ramos,Polo Shirt,.. : polo shirt category : clothes.
61,Beauty,181,Hill-Livingston,Moisturizing Cream,. product : moisturizing cream category : beauty.
62,Beauty,182,Stanley LLC,Anti-Aging Serum,. product : anti - aging serum category : beauty.
63,Beauty,336,"Bailey, Holder and Olsen",Cleansing Oil,. product : cleansing oil category : beauty.
64,Beauty,246,"Ortiz, Moore and Burke",Face Mask,. product : face mask category : beauty.
65,Beauty,346,"Schwartz, Allen and Parker",Sunscreen,. product : suncreen category : beauty.
66,Beauty,10,Hill-Gardner,Perfume,.. : perfume category : beauty.
67,Beauty,291,Saunders-Gamble,Shampoo,. product : shampoo category : beauty.
68,Beauty,54,Phillips-Diaz,Conditioner,.. : conditioner category : beauty.
69,Beauty,442,Smith-Barrett,Hair Styling Gel,. product : hair & gel category : beauty.
70,Beauty,457,Reed-Fernandez,Lipstick,.. : lipstick category : beauty.
71,Beauty,200,"Erickson, Armstrong and Winters",Eyeshadow Palette,. product : eyeshadel palette category : beauty.
72,Beauty,392,"Sullivan, Garcia and Johnson",Mascara,. product : mascara category : beauty.
73,Beauty,17,Hicks-Lopez,Nail Polish,.. : nail polish category : beauty.
74,Beauty,359,Christensen-Espinoza,Foundation,. s : foundation category : beauty.
75,Beauty,366,Anderson-Huang,Blush,. product : blush category : beauty.
